Date,Time,Ecg (bps),Uv (mW/cm2),Gyro (Degree),Flex (Degrees),Fsr (mV),Strain  (mV),Pulse  (),SpO2
,,553,2.14,,10,,,,
,,469,2.11,,105,,,,
,,432,2.11,,135,,,,
,,522,2.11,,22,,,,
,,547,2.14,,157,,,,
,,457,2.14,,84,,,,
,,445,2.11,,28,,,,
,,544,2.14,,104,,,,
,,546,2.14,,145,,,,
,,454,2.11,,35,,,,
,,461,2.11,,73,,,,
,,556,2.11,,125,,,,
,,535,2.11,,21,,,,
,,446,2.14,,73,,,,
,,474,2.11,,159,,,,
,,564,2.11,,26,,,,
,,518,2.11,,48,,,,
,,440,2.11,,115,,,,
,,493,2.11,,115,,,,
,,566,2.11,,29,,,,
,,498,2.11,,91,,,,
,,440,2.11,,172,,,,
,,512,2.11,,91,,,,
,,566,2.11,,24,,,,
,,486,2.11,,83,,,,
,,442,2.11,,113,,,,
,,529,2.11,,10,,,,
,,560,2.11,,149,,,,
,,469,2.11,,128,,,,
,,450,2.11,,12,,,,
,,547,2.11,,110,,,,
,,554,2.11,,179,,,,
,,460,2.11,,8,,,,
,,465,2.11,,7,,,,
,,565,2.11,,7,,,,
,,546,2.11,,8,,,,
,,452,2.11,,7,,,,
,,477,2.11,,7,,,,
,,569,2.11,,-3,,,,
,,529,2.11,,-1,,,,
,,449,2.11,,4,,,,
,,495,2.11,,5,,,,
,,572,2.14,,3,,,,
,,513,2.11,,-1,,,,
,,450,2.14,,-1,,,,
,,518,2.14,,1,,,,
,,577,2.14,,1,,,,
,,500,2.14,,0,,,,
,,456,0.91,,1,,,,
,,538,0.91,,1,,,,
,,576,0.91,,1,,,,
,,487,0.91,,3,,,,
,,460,0.94,,1,,,,
,,550,0.91,,1,,,,
,,564,0.94,,2,,,,
,,470,0.94,,1,,,,
,,468,0.94,,3,,,,
,,566,0.94,,2,,,,
,,554,0.94,,1,,,,
,,461,0.91,,3,,,,
,,481,0.94,,3,,,,
,,577,0.94,,2,,,,
,,542,0.94,,3,,,,
,,460,0.94,,2,,,,
,,507,0.94,,2,,,,
,,590,0.91,,3,,,,
,,540,0.94,,3,,,,
,,475,0.94,,3,,,,
,,537,0.91,,2,,,,
,,605,0.91,,2,,,,
,,532,0.88,,1,,,,
,,473,0.88,,3,,,,
,,546,0.88,,3,,,,
,,585,0.88,,1,,,,
,,497,0.86,,2,,,,
,,466,0.86,,2,,,,
,,555,0.86,,2,,,,
,,572,0.83,,2,,,,
,,480,0.83,,3,,,,
,,471,0.83,,3,,,,
,,569,0.83,,3,,,,
,,558,0.8,,3,,,,
,,450,0.8,,2,,,,
,,449,0.8,,2,,,,
,,568,0.8,,3,,,,
,,642,0.83,,3,,,,
,,765,0.8,,3,,,,
,,1024,0.78,,2,,,,
,,1024,0.8,,2,,,,
,,736,0.8,,2,,,,
,,530,0.8,,2,,,,
,,566,0.78,,3,,,,
,,566,0.8,,2,,,,
,,475,0.78,,4,,,,
,,469,0.75,,3,,,,
,,564,0.78,,3,,,,
,,547,0.75,,3,,,,
,,450,0.78,,3,,,,
,,466,0.75,,4,,,,
,,559,0.75,,3,,,,
,,526,0.75,,3,,,,
,,446,0.75,,3,,,,
,,488,0.75,,3,,,,
,,572,0.75,,3,,,,
,,520,0.75,,3,,,,
,,454,0.75,,4,,,,
,,520,0.75,,3,,,,
,,589,0.75,,2,,,,
,,520,0.75,,4,,,,
,,472,0.75,,9,,,,
,,558,0.75,,53,,,,
,,603,0.75,,43,,,,
,,520,0.75,,75,,,,
,,494,0.75,,13,,,,
,,590,0.75,,112,,,,
,,618,0.75,,18,,,,
,,533,0.75,,51,,,,
,,534,0.75,,99,,,,
,,639,0.75,,15,,,,
,,643,0.75,,40,,,,
,,557,0.75,,135,,,,
,,,,,30,,,,
,,,,,3,,,,
,,,,,95,,,,
,,,,,149,,,,
,,,,,18,,,,
,,,,,58,,,,
,,,,,120,,,,
,,,,,10,,,,
,,,,,157,,,,
,,,,,12,,,,
,,,,,80,,,,
,,,,,110,,,,
,,,,,9,,,,
,,,,,113,,,,
,,,,,99,,,,
,,,,,44,,,,
,,,,,155,,,,
,,,,,26,,,,
,,,,,55,,,,
,,,,,145,,,,
,,,,,20,,,,
,,,,,46,,,,
,,,,,135,,,,
,,,,,10,,,,
,,,,,126,,,,
