Record Date,Type of Account,Closing Balance Today,Opening Balance Today,Opening Balance This Month,Opening Balance This Fiscal Year,Table Number,Table Name,Sub Table Name,Source Line Number,Fiscal Year,Fiscal Quarter Number,Calendar Year,Calendar Quarter Number,Calendar Month Number,Calendar Day Number
23-12-2020,Short-Term Cash Investments (Table V),0,0,0,0,I,Operating Cash Balance,Type of account,3,2021,1,2020,4,12,23
22-12-2020,Federal Reserve Account,1603478,1609289,1622986,1781679,I,Operating Cash Balance,Type of account,1,2021,1,2020,4,12,22
22-12-2020,Supplementary Financing Program Account,0,0,0,0,I,Operating Cash Balance,Type of account,2,2021,1,2020,4,12,22
22-12-2020,Short-Term Cash Investments (Table V),0,0,0,0,I,Operating Cash Balance,Type of account,3,2021,1,2020,4,12,22
21-12-2020,Federal Reserve Account,1609289,1605924,1622986,1781679,I,Operating Cash Balance,Type of account,1,2021,1,2020,4,12,21
21-12-2020,Supplementary Financing Program Account,0,0,0,0,I,Operating Cash Balance,Type of account,2,2021,1,2020,4,12,21
21-12-2020,Short-Term Cash Investments (Table V),0,0,0,0,I,Operating Cash Balance,Type of account,3,2021,1,2020,4,12,21
18-12-2020,Federal Reserve Account,1605924,1603000,1622986,1781679,I,Operating Cash Balance,Type of account,1,2021,1,2020,4,12,18
18-12-2020,Supplementary Financing Program Account,0,0,0,0,I,Operating Cash Balance,Type of account,2,2021,1,2020,4,12,18
18-12-2020,Short-Term Cash Investments (Table V),0,0,0,0,I,Operating Cash Balance,Type of account,3,2021,1,2020,4,12,18
17-12-2020,Federal Reserve Account,1603000,1615873,1622986,1781679,I,Operating Cash Balance,Type of account,1,2021,1,2020,4,12,17
17-12-2020,Supplementary Financing Program Account,0,0,0,0,I,Operating Cash Balance,Type of account,2,2021,1,2020,4,12,17
17-12-2020,Short-Term Cash Investments (Table V),0,0,0,0,I,Operating Cash Balance,Type of account,3,2021,1,2020,4,12,17
16-12-2020,Federal Reserve Account,1615873,1620613,1622986,1781679,I,Operating Cash Balance,Type of account,1,2021,1,2020,4,12,16
16-12-2020,Supplementary Financing Program Account,0,0,0,0,I,Operating Cash Balance,Type of account,2,2021,1,2020,4,12,16
16-12-2020,Short-Term Cash Investments (Table V),0,0,0,0,I,Operating Cash Balance,Type of account,3,2021,1,2020,4,12,16
15-12-2020,Federal Reserve Account,1620613,1507694,1622986,1781679,I,Operating Cash Balance,Type of account,1,2021,1,2020,4,12,15
15-12-2020,Supplementary Financing Program Account,0,0,0,0,I,Operating Cash Balance,Type of account,2,2021,1,2020,4,12,15
15-12-2020,Short-Term Cash Investments (Table V),0,0,0,0,I,Operating Cash Balance,Type of account,3,2021,1,2020,4,12,15
14-12-2020,Federal Reserve Account,1507694,1491532,1622986,1781679,I,Operating Cash Balance,Type of account,1,2021,1,2020,4,12,14
14-12-2020,Supplementary Financing Program Account,0,0,0,0,I,Operating Cash Balance,Type of account,2,2021,1,2020,4,12,14
