"","Closing_Balance_Today","Opening_Balance_Today","Opening_Balance_This_Month","Opening_Balance_This_Fiscal_Year","Fiscal_Year","Fiscal_Quarter_Number","Calender_Year","Calender_Quarter_Number","Calender_Month_Number","Calender_Day_Number"
"64",686720.960864657,690897.273398962,778603.370765367,216250.873983902,2022.02088791167,2.00306956581513,5.97410716556562,1.19019255023848,2.40206120744101,1.99370696361031
"65",716284.421099867,720837.553657269,807244.505303923,215029.024143942,2022.01729457318,2.00181417731242,5.9703104916473,1.18975050343713,2.40062120202533,0.995376361925384
"66",707249.002887554,698481.970799868,772127.93280882,213440.355519595,2022.00057453749,1.99921916090046,5.9912335209076,1.03658322724878,1.88258886088439,28.0122494943721
"67",659841.854713813,652762.560977636,730573.968874324,216000.375621349,2022.0056236133,2.00118435693576,5.99696154463461,1.03583263160849,1.88866951639107,24.9971652614093
"68",664099.348405526,657501.409229096,735515.617688126,215998.266409793,2022.0049720332,2.0010075770627,5.99635099995165,1.03549171006192,1.88915189285175,23.994105267971
"69",683052.340085736,676870.241456811,754200.667155586,214960.847385726,2022.00262003739,2.00013647065063,5.99387339090342,1.0351230565853,1.88857851129911,22.9990175999806
"70",692218.5539167,686492.723652981,763720.22726093,214395.171775509,2022.00140573064,1.99968250800479,5.99262798017813,1.0347935098642,1.88874858345102,22.0021005224973
"71",693712.07251717,689960.509758776,768875.481506617,214093.37691712,2022.00063066885,1.99942097169749,5.99208823886523,1.03359069163806,1.89205145384695,18.0036133873428
"72",695695.789921088,692431.246411243,771672.821507999,213947.408191201,2022.00024953397,1.99928842595325,5.99175092064141,1.03328287926059,1.89275352596263,17.0041791208758
"73",699860.507675952,697074.280011305,776513.927840138,213717.11562949,2021.99961436041,1.99906724329893,5.99114007624796,1.03296437993885,1.89328606282383,16.0048200398323
"74",695857.713798055,693581.237678798,773696.824749738,213723.925432979,2021.99993242377,1.99916163923741,5.99154949388326,1.03269335877849,1.89446806268194,15.0064368095192
"75",682872.398116588,681145.030366145,762476.41649154,214316.773631002,2022.00129098502,1.99967071272971,5.99309773240514,1.03244372318325,1.89630405741306,14.0039283008376
"76",671931.561082153,671735.324250914,755049.967994786,214713.134533343,2022.00211074879,1.99999723085368,5.994213585213,1.03158588516861,1.8996897625886,11.0021477041089
"77",670072.146942916,670380.00352468,754252.931604973,214833.912765158,2022.00217439933,2.00004543133578,5.99436433097655,1.03128570476088,1.90066867613499,10.0006925379761
"78",680535.690355979,681296.614564554,764996.077088105,214352.447011662,2022.00080573547,1.99956667292999,5.992963137348,1.03093706541403,1.90071300382519,9.00167273227231
"79",684540.89787799,685777.97262167,769676.52850731,213937.827156286,2022.0001937442,1.99931237876723,5.99236248811072,1.03063740310908,1.90129323981425,8.00535259908169
"80",676621.385659779,678386.514373487,763199.822282569,214277.771997469,2022.00096362886,1.999603718886,5.99327247063957,1.03036835177228,1.90274602624748,7.00393039989193
"81",672738.748080251,676006.301819198,762385.299570738,214364.544884289,2022.000962154,1.99963576084098,5.99350124253553,1.02947940669332,1.90558987813929,4.00297961143504
"82",682160.148640525,685885.467517662,772154.026593054,213960.002647119,2021.9997139918,1.99920696939163,5.99223263367537,1.02913240189077,1.90570842648263,3.00333844644194
"83",690118.935790418,694304.642548661,780539.345649751,213393.499856962,2021.99864147173,1.99879220228106,5.99113620363629,1.02881327465226,1.90598115918801,2.00713903856182
"84",701042.267421551,705680.410081427,791718.149535561,212976.053837264,2021.99721727621,1.99831175918018,5.98968155862705,1.02845462951194,1.90597458879241,1.0068278267705
"85",585571.749063364,575703.9038152,652013.138125922,201020.749236211,2021.95493072217,1.98643044892015,5.98353973717453,0.871994388897452,1.37896264974301,31.0622677703487
"86",548564.239340257,540341.836863543,620201.267649737,203124.621206337,2021.95876977474,1.98796176068035,5.98796072504288,0.871197959469219,1.38424493141667,28.048406144289
"87",547139.534383606,539418.110582517,619806.080187541,203134.76716435,2021.95878505826,1.98797279290459,5.98805212101478,0.870904541898969,1.38520744026044,27.048465460006
"88",548525.355735077,541294.006594499,622045.816963912,203057.431699474,2021.95847246534,1.98787400657967,5.9877921307254,0.870595345052154,1.38594755391553,26.0482831403634
"89",541091.75348472,534383.954781223,616014.211821062,203204.233435569,2021.95918996507,1.98810935927165,5.98863219524515,0.870340438569566,1.38739487867259,25.049664223748
"90",523781.742514683,517641.160721712,600744.623514664,204022.118651273,2021.96105086105,1.98880621073314,5.99072578556391,0.870106512671911,1.38955632744273,24.0460823750045
"91",515824.733387132,511204.153074414,596117.356555452,204355.99054439,2021.96152179677,1.98902245455632,5.99147014982901,0.869229042301234,1.39270029332153,21.0435596093178
"92",508790.162358676,504692.26372417,590462.562285131,204536.561188123,2021.96219162939,1.98925181589578,5.99226270396236,0.868967517611453,1.39410748378806,20.0441681972148
"93",503211.085068895,499633.315110942,586184.669233347,204882.177621977,2021.96268658128,1.98946802629287,5.99288411687489,0.868677883910029,1.39536052261741,19.0412898741449
"94",458328.923600463,455422.38382663,545053.835309418,206357.134041346,2021.96776890898,1.99120042373514,5.99841455917069,0.868617822988385,1.399741012761,18.0432932734883
"95",405315.941115757,404617.697942935,499198.193125713,209285.751743842,2021.973315523,1.99338747917833,6.0047684816385,0.867575644611383,1.40707272012479,14.0249790475669
"96",417575.052181636,417325.431769681,511634.781261164,208919.824382103,2021.97173324578,1.99287419184783,6.00315162472353,0.867200676071377,1.40694319888679,13.0230651394193
"97",440348.516443964,440497.743996066,533892.938635925,207615.933382446,2021.96893911834,1.99182313514681,6.00018876246744,0.866824558625787,1.40609484863205,12.0300071963138
"98",425277.535220913,425978.980462764,520697.293796334,207934.949427571,2021.97054917878,1.99234329483653,6.00198031744951,0.866618740160276,1.40815865376333,11.0330918636753
"99",399897.53540605,401202.432733536,497881.589068035,209338.936937241,2021.97334342855,1.99342508451243,6.00510010510143,0.866398378325916,1.41089661397651,10.024851315612
"100",395894.622496586,398702.657484939,496955.287581117,209446.179019858,2021.9733555809,1.993465302479,6.00534477570879,0.865508523244298,1.4137468838343,7.02364356457381
"101",394837.19841176,398144.096887136,496901.678627851,209397.963715262,2021.97332915131,1.99345222938635,6.0053878357414,0.86521749166247,1.41468902627273,6.02442131625968
"102",388802.582513796,392629.321705552,492188.506828089,209618.020663497,2021.97388062286,1.99365719494463,6.00605900654316,0.864943660209847,1.41600400615465,5.02381543684754
"103",364358.802118915,368778.507289594,470223.17438835,210526.881069366,2021.97657691257,1.99460554802736,6.00903774729974,0.864762209127748,1.4187542343835,4.0229416993822
"104",357289.585535604,362240.443247498,464569.167913958,211275.316345142,2021.97723709191,1.99495406907895,6.00986381970587,0.86444715790291,1.42005913686932,3.01449499311717
"105",282070.901783775,271945.768421339,361818.680251167,208093.373419693,2021.99950382664,0.995905043532495,4.95947165052777,4.15603374799044,11.4962669476124,31.0332358471786
"106",238675.593515679,229233.494378917,322151.928588294,210716.791492425,2022.00438382971,0.997827669608959,4.96487772223872,4.15585209950451,11.5003083899355,30.0160172691801
"107",232614.374816966,223691.447332672,317410.734177228,210885.170338114,2022.00493967344,0.998022761292983,4.96554951524856,4.15558339403928,11.501635204638,29.0162528205276
"108",203707.333343829,195395.746684691,291265.230858379,212004.936092812,2022.00815490866,0.999160472950403,4.96908998218788,4.15542017883578,11.5047252694652,28.014612436249
"109",173549.161015882,165860.670233929,263974.307815886,213632.838821883,2022.01150476405,1.00044459279916,4.97281103303551,4.15521951685903,11.5078273905887,27.0055810490208
"110",163034.883882445,156876.247274125,256949.276926578,214041.634617591,2022.01227414401,1.00075978775943,4.97387487920925,4.15435684694341,11.5111745777054,24.0033528519959
"111",167395.450587377,161715.824569351,261979.800411974,213904.141431541,2022.0116137331,1.00055150782119,4.97324464141591,4.15402787456486,11.511673291144,23.0023964042214
"112",156316.916448395,151173.373284564,252524.578720581,214055.012856005,2022.01275909416,1.00090654733604,4.97453478109143,4.15380379959567,11.5134293066537,22.0058390116809
"113",109358.187937753,104901.960918975,209478.96565251,216140.521814101,2022.01807048372,1.00283355282533,4.9803529583615,4.15370365426395,11.5178729520797,20.9992962062756
"114",74239.2855056346,70427.9329337779,177547.365768404,218095.008902346,2022.02199489847,1.00434729471512,4.98470309102488,4.1535145244999,11.5213357074502,19.9879396503929
"115",64814.8514862065,62528.7678186396,171542.659752606,218445.609897663,2022.02263772363,1.00461486022437,4.98562942959503,4.15264803636581,11.5246011537278,16.98600566399
"116",67977.3700507032,66174.8814273705,175449.735416918,218341.082097476,2022.02211718173,1.00445249379146,4.98514875511887,4.15232620022493,11.5251954695079,15.9852213475586
"117",80614.2786661936,79255.0323912203,188224.893788442,217697.241093359,2022.02049726157,1.00386912450436,4.9834709584029,4.15197433718283,11.5250853736211,14.9875285851233
"118",106527.606741044,105558.596576893,213440.982414476,216538.330917534,2022.01733097253,1.00274582844385,4.98012803298426,4.15155758662786,11.5239435914281,13.990321692455
"119",118446.923557792,117918.766709037,225522.739754036,215565.113867907,2022.01580326504,1.00211739533954,4.97852184179164,4.15124308831555,11.5239554528402,12.9983116220831
"120",111585.988357846,112573.260177193,221921.785364711,215843.087515044,2022.01614685889,1.00228628389617,4.97912804769358,4.15036152869055,11.527016723333,9.99604272866314
"121",114779.298508737,116248.774036297,225852.653021253,215651.127946435,2022.01562481426,1.00210474091267,4.97863907054451,4.15004771577777,11.5276246267097,8.99663776581554
"122",123687.341820514,125616.01647815,235137.871851567,215224.648360701,2022.01443745656,1.00168812752933,4.97743269171002,4.14970718691776,11.5277908228443,7.99764670783401
"123",116887.974231358,119335.983180604,229693.868531074,215232.354005038,2022.01508385029,1.00187389037113,4.9781873148136,4.14946003227753,11.5292100782682,7.00088076725332
"124",101051.687015115,104062.581079547,215811.455975685,216098.587950856,2022.01677054481,1.00253274114009,4.98010150459676,4.1492089019991,11.5312374525049,5.99566640240615
"125",105995.334450494,110473.334940727,223267.459881372,215837.528387126,2022.01574116049,1.00220471042794,4.9792230051345,4.14827733185522,11.5333964323756,2.99512508234684
"126",125839.823924141,130731.590088936,242793.828943314,214866.448557961,2022.01328288898,1.00131832577206,4.97663878159209,4.1478947553388,11.5327350719453,1.99845706646086
"127",156198.620643354,161461.352918068,272169.559869492,213431.632999218,2022.00960131405,0.999992741055006,4.97273297878969,4.14746608211296,11.5312670086453,1.00306601977138
"128",185897.046208095,176736.576365985,272101.903605729,215156.683167911,2022.00028778525,1.0001406615116,5.00129585224941,3.99610839350967,11.0129122337424,30.0034058922791
"129",158698.668590531,150150.15697707,247587.225634726,216715.947386499,2022.00329178296,1.00131401248047,5.00464806411563,3.99588888787178,11.0157757954685,28.9937446379879
"130",156252.070867779,149199.932357082,248117.10121496,216725.352208068,2022.00312356884,1.00128315229098,5.00469561270829,3.99499497682827,11.0185120682911,25.993192501923
